Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity
Lullaby - BadWolf Remix,Lullaby (BadWolf Remix),TR-MEET,2023-03-24,DEEE72301691,"2,213",30.4,18204,113,5777,10.0
Love Not War (The Tampa Beat),Love Not War (The Tampa Beat) [Remixes] (feat. Jason Derulo),Jason Derulo,2020-11-19,GBARL2001440,"2,212",30.4,286179073,51888,9569404,59.0
"Lose Yourself - From ""8 Mile"" Soundtrack",8 Mile,Eminem,2002-10-29,USIR10211559,"2,222",30.4,2194935773,345119,97808878,75.0
100 MESSAGGI,100 MESSAGGI,Lazza,2024-02-27,ITUM72400349,"2,219",30.4,69972816,5282,6183983,73.0
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,2021-08-13,UK4ZF2100518,"2,218",30.4,509445605,105947,68408965,68.0
Cï¿½ï¿½,VICE VERSA,Rauw Alejandro,2021-06-25,USSD12100296,"2,215",30.4,596905923,83179,20128974,76.0
Turn On The Lights again.. (feat. Future),USB,Fred again..,2022-01-17,GBAHS2201001,"2,214",30.4,190872805,102679,49713000,61.0
Illegal Weapon,Illegal Weapon,Garry Sandhu,2017-09-25,FRX201706358,"2,224",30.3,67999897,12496,2290221,57.0
Send My Love (To Your New Lover),25,Adele,2015-11-20,GBBKS1500215,"2,234",30.3,1064599051,89443,24441546,66.0
Chakalitos,Chakalitos,Angi Fire,2023-07-22,USMH92305308,"2,229",30.3,14137400,1570,171193,10.0
No Hay Nadie Mï¿½,No Hay Nadie Mï¿½,Sebastian Yatra,2018-01-26,USUM71713890,"2,239",30.3,546219103,43372,12705005,69.0
Ramenez la coupe ï¿½ï¿½ la ma,Ramenez la coupe ï¿½ï¿½ la ma,Vegedream,2018-07-17,UKGD81800015,"2,233",30.3,482859077,154354,9307449,62.0
1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,2022-07-29,QZAPK2000271,"2,237",30.3,189588270,43837,2663499,72.0
#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,2020-07-27,QZK6Q2049800,"2,230",30.3,289085486,76485,8876090,62.0
Baby Songs,Baby Lullaby - Relaxing Piano Baby Lullabies Baby Songs and Nursery Rhymes for Baby Sleep and Newborn Natural Sleep Aid,Baby Lullaby,2014-10-23,USA2P1472414,"2,227",30.3,5484513,36,9217,27.0
Clout (feat. Cardi B),FATHER OF 4,Offset,2019-02-22,USUG11802308,"2,231",30.3,306221125,61432,15468892,58.0
One Last Time,My Everything,Ariana Grande,2014-08-21,USUM71409723,"2,243",30.2,1465918510,110953,65876311,77.0
Malas Decisiones,K23,Kenia OS,2022-10-27,MXF012200331,"2,246",30.2,249199925,15573,11736236,68.0
Termina Comigo Antes,Termina Comigo Antes,Gusttavo Lima,2022-03-31,BXBAL2200001,"2,241",30.2,194919563,12885,13054030,63.0
Dijeron Que No La Iba Lograr,Dijeron Que No La Iba a Lograr,Chino Pacas,2023-03-14,USA2P2313930,"2,254",30.1,241174958,23146,7025185,43.0
MotorSport,MotorSport,Migos,2017-10-27,USUM71712002,"2,262",30.1,590983645,89159,24300466,62.0
Nevada,Nevada,YoungBoy Never Broke Again,2021-01-30,USAT22103399,"2,251",30.1,163974630,60031,4503801,64.0
Emotionally Scarred,My Turn,Lil Baby,2020-02-28,USUG12000034,"2,261",30.1,289652584,93481,10151445,63.0
If I Didn't Love You,If I Didn't Love You,Jason Aldean,2021-07-23,QMRSZ2101546,"2,268",30.0,143447350,22233,3205615,60.0
NO ME QUIERO CASAR,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,2023-10-13,QMFME2364196,"2,269",30.0,144801283,20979,16117371,73.0
UNHEALTHY (feat. Shania Twain),UNHEALTHY (feat. Shania Twain),Anne-Marie,2023-05-18,GBAHS2300345,"2,274",30.0,107435709,18457,6727123,60.0
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",CAN YOU IMAGINE?,Elevation Worship,2023-05-19,USPJT2300015,"2,284",30.0,79621215,31102,3889566,70.0
Take Me to Church,Take Me to Church EP,Hozier,2013-09-13,USSM11307291,"2,276",30.0,2544489950,113315,30950638,74.0
Roses,Roses,The Chainsmokers,2015-06-16,USQX91500801,"2,270",30.0,1046848265,137023,33124854,68.0
BEBï¿,BEBï¿,Camilo,2020-11-25,USSD12000562,"2,277",30.0,401104048,42742,14190262,66.0
Eid,Eid,Mehmood J,2022-06-24,USANG2274868,"2,273",30.0,10762,5,29,4.0
Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,2019-06-15,USCM51900318,"2,275",30.0,970219741,180650,36876067,70.0
Lighter,Lighter (Extended Mix),Galantis,2024-02-16,USAT22400413,"2,295",29.9,35712909,4573,31483398,5.0
Little Girl Gone,Little Girl Gone,CHINCHILLA,2023-04-21,GBGLW2300286,"2,297",29.9,100397677,21963,13959755,68.0
Baby (Lil Baby feat. DaBaby),Baby,Quality Control,2019-07-17,USUG11900748,"2,294",29.9,522143496,111477,16214693,68.0
Hotel,Hotel,Montell Fish,2022-09-16,QZVBE2200009,"2,291",29.9,296674882,56660,27811906,74.0
Mas Altas Que Bajadas,Nata Montana,Natanael Cano,2023-06-30,USWL12301031,"2,288",29.9,157476564,15069,7363178,71.0
X1,Little Hair,MC Cabelinho,2021-12-20,QZTVM2103308,"2,285",29.9,185050407,30221,5514940,62.0
Baby Shark,Pinkfong Bebefinn (Pt. 1),Bebefinn,2022-08-26,QM6P42230294,"2,289",29.9,1731282,162,21068,31.0
DISPARA ***,DISPARA ***,Nicki Nicole,2023-05-17,UYB282300010,"2,301",29.8,182184068,23852,8214976,66.0
By Your Side,By Your Side,Rod Wave,2021-11-22,USQX92105590,"2,303",29.8,164804108,40909,4353138,60.0
When We Were Young,25,Adele,2015-11-20,GBBKS1500217,"2,305",29.8,1284096603,117365,41710598,71.0
Miracle (Extended),Miracle (with Ellie Goulding) [Remixes],Calvin Harris,2023-06-16,GBARL2300301,"2,314",29.8,57151,92,28566,14.0
Loading,Loading,Central Cee,2020-10-22,ZZOPM2003512,"2,311",29.8,356681497,137745,8267546,65.0
Dos Besitos,Dos Besitos,La Joaqui,2022-10-27,ARACN2200010,"2,320",29.7,100335960,18928,3742291,56.0
Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),Alok,2022-06-17,DEE862200810,"2,318",29.7,335203899,61133,99451251,76.0
No Me Conoce - Remix,No Me Conoce (Remix),Jhay Cortez,2019-05-17,USUM71908293,"2,322",29.7,1367265268,135811,46929639,75.0
Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),Lil Dicky,2018-03-15,QMRSZ1800280,"2,321",29.7,670298052,82446,12953022,65.0
Still Rollin,Still Rollin,Shubh,2023-05-19,QM6P42332209,"2,325",29.7,191465461,18344,7425022,69.0
Teeth,Teeth,5 Seconds of Summer,2019-08-21,USUG11902528,"2,315",29.7,683247723,103554,18582680,71.0
I Took A Pill In Ibiza,The Truth,Mike Posner,2015-06-22,USUM71503636,"2,316",29.7,83366020,17799,3474319,49.0
Run Free,Run Free,Deep Chills,2017-08-18,NLYK91700007,"2,334",29.6,86943003,17950,3630498,55.0
In The Dark,In the Dark,Purple Disco Machine,2022-01-21,AUDCB1701963,"2,330",29.6,177722624,34102,6137203,59.0
Felina,Felina,WIU,2022-09-22,BXW922200018,"2,331",29.6,227079649,35385,8942936,63.0
Sexy to Someone,Sexy to Someone,Clairo,2024-05-23,USA2P2416224,"2,329",29.6,15290073,2626,37148745,74.0
Coraï¿½ï¿½ï¿½ï¿½o,Manual de Como Amar Errado,WIU,2022-11-29,BXW922200010,"2,333",29.6,239669425,30426,7338920,63.0
Where It Ends,Where It Ends,Bailey Zimmerman,2022-08-19,USWB12202445,"2,343",29.5,178441881,28857,7439902,75.0
Carry You Home,Carry You Home,Alex Warren,2024-05-31,USAT22403017,"2,339",29.5,9428361,1095,21925889,71.0
City Boys,Workout Rap 2024,Burna Boy,2022-02-23,USAT22307528,"2,342",29.5,152289860,58113,19505579,69.0
Wellerman - Sea Shanty,Wellerman (Sea Shanty),Nathan Evans,2021-01-21,GBUM72100297,"2,336",29.5,405754991,103694,5805294,66.0
Walk It Talk It,Culture II,Migos,2018-01-26,USUM71800983,"2,337",29.5,778459270,150813,29317904,67.0
Otra vez (feat. J Balvin),Motivan2,Zion & Lennox,2016-09-30,USWL11600244,"2,345",29.5,912446776,48788,18231793,67.0
BOOKER T,EL ï¿½ï¿½LTIMO TOUR DEL M,Bad Bunny,2020-11-27,QMFME2066844,"2,351",29.4,403041493,62435,9324189,66.0
"24/7, 365","24/7, 365",elijah woods,2023-07-24,QZNWU2345439,"2,359",29.4,91124161,12758,7968409,71.0
POCPOC,POCPOC,PEDRO SAMPAIO,2023-11-23,BRWMB2301411,"2,360",29.4,137276005,9079,26226576,72.0
Je M'appelle,Je M'appelle,Benzz,2022-04-21,GBUM72202219,"2,358",29.4,231745345,83611,6994071,65.0
Tyler Herro,Tyler Herro,Jack Harlow,2020-10-22,USAT22006588,"2,355",29.4,555631717,127984,22280549,66.0
"i hate u, i love u (feat. olivia o'brien)","i hate u, i love u (feat. olivia o'brien)",gnash,2016-02-17,USAT21601051,"2,354",29.4,1405772026,122979,53743248,70.0
Manos Rotas,Manos Rotas,DELLAFUENTE,2023-11-16,QMFMF2333158,"2,356",29.4,106759874,18359,8998620,71.0
Satellite,Harry's House,Harry Styles,2022-05-20,USSM12200619,"2,373",29.3,455718141,51605,21294785,70.0
La Santa,YHLQMDLG,Bad Bunny,2020-02-29,QM4TX2030933,"2,361",29.3,915557792,96498,35375775,75.0
Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva,2019-06-14,INS181903758,"2,372",29.3,211095929,15632,8831229,63.0
Sure Thing,All I Want Is You,Miguel,2010-05-25,USJI10800160,"2,362",29.3,1335928309,190857,100835580,81.0
Talibans,No Love,Byron Messia,2023-01-20,QZFZ22348066,"2,371",29.3,54683202,28810,5603761,61.0
Escapism. - Sped Up,Escapism. (Sped Up),RAYE,2022-11-25,QMFME2222462,"2,376",29.3,270327239,47167,13191481,66.0
you should see me in a crown,you should see me in a crown,Billie Eilish,2018-07-18,USUM71810049,"2,370",29.3,860596912,103375,35817894,71.0
Te Robarï¿,Te Robarï¿,Nicky Jam,2019-03-22,USSD11900072,"2,366",29.3,547483874,59096,18863568,61.0
Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,2018-10-25,USAT21811554,"2,377",29.2,853574945,46385,17500223,73.0
Dandelions,Dandelions,Ruth B.,2017-04-28,USSM11703468,"2,383",29.2,1561518107,183674,67708124,82.0
Malvada,Malvada,Zï¿½ï¿½ Fe,2022-01-28,BRTLW2100037,"2,382",29.2,166427224,17110,7754576,53.0
I Love You So,I Love You So,The Walters,2014-11-28,TCACC1438995,"2,394",29.2,1410353130,218492,59487193,83.0
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,USUM71900773,"2,390",29.2,930343185,116055,42732119,75.0
Him & I (with Halsey),Him & I,G-Eazy,2017-11-30,USRC11701867,"2,384",29.2,949651805,141296,23238086,72.0
TIKTOK,TIKTOK,Ian Lucas,2024-05-23,ARAE52400089,"2,381",29.2,2164864,113,1773907,59.0
Call Your Friends,Call Your Friends - Single,Rod Wave,2023-08-18,USQX92304741,"2,395",29.2,47296342,10429,2724041,46.0
Rosa Pastel,Rosa Pastel,Peso Pluma,2023-04-20,QM4TX2394694,"2,391",29.2,192231633,22780,5337724,65.0
Borderline,The Slow Rush,Tame Impala,2020-02-14,AUUM71900956,"2,380",29.2,671310199,156377,27309112,76.0
Tï¿,Encerrados Pero Enfiestados (Live Vol. 1),Carin Leon,2020-05-22,USDXS2007349,"2,393",29.2,327311508,31216,7536781,68.0
No Time To Die,No Time To Die,Billie Eilish,2020-02-13,USUM72002771,"2,388",29.2,610838644,91391,29634724,70.0
En El Radio Un Cochinero,En El Radio Un Cochinero,Victor Cibrian,2022-05-13,USDXS2201437,"2,399",29.1,215837483,26581,6387381,61.0
Boy's a liar,Boy's a liar,PinkPantheress,2022-11-30,GBAYE2202560,"2,400",29.1,203628716,39800,6108454,62.0
O Patinho Colorido,"Bento e Totï¿½ï¿½, Vo",Bento e Totï¿,2019-11-15,BX7CP1900008,"2,396",29.1,11029541,2068,188999,52.0
B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,2022-06-15,QZAKB2166448,"2,397",29.1,47723324,34495,3089794,52.0
Lucky Girl Syndrome,SUPER REAL ME,ILLIT,2024-03-25,USA2P2413261,"2,408",29.0,29089538,1933,2045965,72.0
Little Dark Age,Little Dark Age,MGMT,2017-10-17,USSM11707035,"2,415",29.0,641453269,197169,31052903,72.0
Diable,Bocaterrosa,Ven'nus,2023-02-28,ES11D2300869,"2,423",29.0,53058,117,4155,10.0
Laung Laachi Title Track,"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,2018-02-22,INS181800353,"2,422",29.0,30173434,6294,1007695,45.0
ýýýýýýýýýýýý ýýýýýýýýýýýý,The End,Lusia Chebotina,2021-10-29,QMDA62163216,"2,421",29.0,32318892,13584,1196310,51.0
We Ride,We Ride - Single,Bryan Martin,2022-10-28,QMDPP2201707,"2,414",29.0,200017368,30976,8143503,76.0
Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208971,"2,437",28.9,254191262,68188,10639841,71.0
Cochinae,Querian Perreo?,Julianno Sosa,2022-04-19,QZQAY2209019,"2,438",28.9,155050178,35527,6146030,58.0
Juju On That Beat (TZ Anthem),Juju On That Beat (TZ Anthem),Zay Hilfigerrr,2016-09-30,USAT21602928,"2,427",28.9,243305603,30216,6007155,52.0
Murder,Murder,Bgnzinho,2023-02-14,SGB502322635,"2,431",28.9,2613573,1475,166424,37.0
GIVENCHY,Temporada de Reggaetï¿½ï¿,Duki,2022-07-20,UYB282240021,"2,436",28.9,240519561,48629,9332907,62.0
Here,Here,Alessia Cara,2015-04-30,USUM71506251,"2,441",28.9,616445374,76646,16115782,65.0
Favorito,Favorito,Camilo,2020-03-26,USSD12000055,"2,435",28.9,488713982,42311,12661251,58.0
Royalty,Royalty,Egzod,2021-04-22,GB2LD2110089,"2,432",28.9,317252487,52261,12634570,74.0
Still Trappin' (with King Von),The Voice,Lil Durk,2020-12-24,USUM72024651,"2,448",28.8,176140377,76081,7784086,61.0
YUM YUM (Slowed),YUM YUM,LXNGVX,2023-06-23,GB8KE2311722,"2,450",28.8,52295701,10792,6471028,64.0
Issues,Issues,Julia Michaels,2017-01-13,USUM71615691,"2,446",28.8,1214862854,86990,25275888,69.0
GOD'S COUNTRY,UTOPIA,Travis Scott,2023-07-28,USSM12305008,"2,455",28.8,96802469,34681,3243869,64.0
Parado no Bailï¿½,Parado no Bailï¿½,MC L da Vinte,2018-07-23,QZ5AB2004464,"2,442",28.8,387513964,87059,13523070,68.0
F Boy,F Boy,Ander Huang,2020-08-22,QZHNC2078374,"2,451",28.8,1415206,973,166740,19.0
"Yo x Ti, Tu x Mi","Yo x Ti, Tu x Mi",ROSALï¿½,2019-08-15,USSM11900596,"2,452",28.8,572697124,76099,26265380,65.0
Say It,Say It,Tory Lanez,2015-07-31,USUM71510633,"2,447",28.8,510138748,83010,18881944,70.0
Ain't Shit,Planet Her,Doja Cat,2021-06-25,USRC12101540,"2,454",28.8,599547543,90475,27073255,70.0
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,2019-06-28,USRC11901644,"2,458",28.8,573785235,104197,40491454,71.0
SIRENS,UTOPIA,Travis Scott,2023-07-28,USSM12305009,"2,449",28.8,102510409,39218,4027424,65.0
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich The Kid) ,Matuï¿,2023-04-30,BXW922200014,"2,453",28.8,159579530,29495,10067664,67.0
Original som fan,HIPHOPP Vol. 1,OP,2018-10-30,SE5BU1734432,"2,466",28.7,37291,93,4955,3.0
SLAY!,SLAY!,Eternxlkz,2024-03-15,QM4TX2453776,"2,471",28.7,81775807,5560,36721527,80.0
Deixa,Deixa,Maria Marï¿½ï,2023-03-21,BRMKP2300072,"2,467",28.7,64736609,4611,7326714,67.0
We Didnï¿½ï¿½ï¿½t Start Th,We Didnï¿½ï¿½ï¿½t Start Th,Fall Out Boy,2023-06-28,USAT22306291,"2,464",28.7,52240739,18224,4939707,59.0
Dawns (feat. Maggie Rogers),Dawns (feat. Maggie Rogers) - Single,Zach Bryan,2023-01-27,USWB12300176,"2,461",28.7,261468916,44088,11298879,75.0
Numb,Meteora,Linkin Park,2003-03-24,USWB10300474,"2,472",28.7,1720830668,270810,75602131,80.0
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,2024-04-19,USUG12402544,"2,478",28.6,97601615,3397,13075013,87.0
Dark Red,Dark Red,Steve Lacy,2017-02-20,GBKPL1778015,"2,475",28.6,1315024190,261850,48425069,80.0
Diosa,Easy Money Baby,Myke Towers,2020-01-24,QM4TW2040256,"2,484",28.6,465811322,70596,17915387,66.0
Dil Galti Kar Baitha Hai,Dil Galti Kar Baitha Hai,Jubin Nautiyal,2021-09-25,INS182101589,"2,482",28.6,64013323,5573,1466888,53.0
Dream Girl,Deeper 2.0,Ir Sais,2017-09-27,TCADG1788520,"2,481",28.6,133061000,41010,3635651,54.0
Wild Side (feat. Cardi B),Wild Side (feat. Cardi B) - Single,Normani,2021-07-16,USRC12101473,"2,476",28.6,181529121,36504,12624326,60.0
Bi' Tek Ben Anlarï¿½,Bi' Tek Ben Anlarï¿½,Kï¿½ï,2022-03-18,TRAUR2200002,"2,480",28.6,214391030,27588,8269792,58.0
Mon Amour,Mon Amour,Annalisa,2023-03-31,ITQ002300239,"2,488",28.5,86387703,9584,2241484,56.0
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,2023-07-18,INH102310310,"2,495",28.5,97050082,6294,9201752,68.0
p r i d e . i s . t h e . d e v i l (with Lil Baby),The Off-Season,J. Cole,2021-05-14,QMJMT2103642,"2,487",28.5,367165473,125205,14849325,65.0
Position,Prime,Franglish,2024-02-15,FRD8V2400040,"2,492",28.5,44456165,3922,6621845,73.0
Poppin,2 Alivï¿,Yeat,2022-02-18,USUM72202097,"2,493",28.5,152999496,61870,4946068,63.0
Memories,Memories,Conan Gray,2022-04-15,USUM72204111,"2,494",28.5,445742307,68570,23007042,72.0
Roï¿½ï¿½a Em,Roï¿½ï¿½a Em,Zï¿½ï¿½ Fe,2022-11-17,BRTLW2200006,"2,502",28.4,192684719,15067,10379433,63.0
TOES (feat. Lil Baby & Moneybagg Yo),KIRK,DaBaby,2019-09-27,USUM71919280,"2,499",28.4,349688559,77636,12565087,60.0
10 Things I Hate About You,10 Things I Hate About You,Leah Kate,2022-03-23,QZES62254244,"2,496",28.4,238502829,38595,7419495,4.0
X ï¿½ï¿½LTIMA,LEGENDADDY,Daddy Yankee,2022-03-25,USUG12201738,"2,503",28.3,409394001,53657,22643350,64.0
Lalala - Ilkan Gunuc Remix,Lalala (Ilkan Gunuc Remix),Y2K,2019-10-28,USSM12002468,"2,515",28.3,28240865,9377,3738275,49.0
Poco A Poco,Poco A Poco - Single,Xavi,2023-09-23,USA2P2344729,"2,514",28.3,283079113,15570,15950378,82.0
Self Care,Self Care,Mac Miller,2018-07-13,USWB11801215,"2,516",28.3,687861392,156992,21060151,70.0
Karma,Midnights (3am Edition),Taylor Swift,2022-10-21,USUG12205729,"2,510",28.3,777305444,2358,643308,47.0
About You,Being Funny In a Foreign Language,The 1975,2022-10-14,GBK3W2202321,"2,506",28.3,350348521,48286,23268627,75.0
BED,BED,Joel Corry,2021-02-26,UK4ZF2100069,"2,512",28.3,480737112,91401,37879799,66.0
23,23,Chayce Beckham,2021-05-14,QMRSZ2101045,"2,511",28.3,217524988,52661,12543368,69.0
Remember,Club House,Becky Hill,2021-04-23,GBUM72102420,"2,529",28.2,453644642,78241,59982572,67.0
Here's Your Perfect,Here's Your Perfect,Jamie Miller,2021-04-30,USAT22101294,"2,523",28.2,418998816,42598,8678739,69.0
Survivorï¿½ï¿½ï¿½s R,Survivorï¿½ï¿½ï¿½s R,Roddy Ricch,2024-05-31,USAT22403043,"2,535",28.2,4462637,789,28882654,66.0
Impossible,Impossible - Single,RIIZE,2024-04-18,KRA302400078,"2,533",28.2,16327372,987,16575491,69.0
El Rescate,El Rescate - Single,Grupo Marca Registrada,2022-07-22,USDXS2202347,"2,528",28.2,391773238,34952,16586286,69.0
Wockesha,A Gangstaï¿½ï¿½ï¿½,Moneybagg Yo,2021-04-23,USUM72105621,"2,518",28.2,138100044,64635,5451499,56.0
Mirame,Mirame - Single,Blessd,2024-04-17,QZZ3N2400057,"2,532",28.2,24345826,1758,36846830,72.0
Pantysito,Pantysito,Alejo,2022-03-18,USUG12201485,"2,526",28.2,332175085,63085,23635638,66.0
brutal,SOUR,Olivia Rodrigo,2021-05-21,USUG12101242,"2,524",28.2,639900946,87550,20272841,73.0
Recognize (feat. Drake),PARTYNEXTDOOR TWO,PARTYNEXTDOOR,2014-07-29,USWB11401866,"2,531",28.2,275465440,58725,10964599,65.0
Mood Malandro,Mood Malandro,Cï¿½ï¿½dig,2023-08-24,QM3DF2276204,"2,538",28.1,188309858,15111,13192945,71.0
Never Going Home,Summer 2021,Kungs,2021-04-28,FR9W12110749,"2,539",28.1,304069347,89224,17836102,63.0
Problemï¿½,Problemï¿½,Alvaro Diaz,2021-10-22,USUM72118879,"2,548",28.1,275492185,47297,14033837,68.0
Pacto (feat. Luar La L),Pacto (feat. Luar La L),Jay Wheeler,2023-04-24,USUYG1480456,"2,547",28.1,58652026,19596,3713869,54.0
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,2023-03-17,USA2P2251867,"2,554",28.0,350802342,12581,16368476,76.0
Azul,Colores,J Balvin,2020-03-19,USUM72001731,"2,557",28.0,489654759,60072,13255516,63.0
Hurricane,Donda,Kanye West,2021-08-29,USUM72116311,"2,549",28.0,404497617,108795,16231758,62.0
Strip That Down (feat. Quavo),Strip That Down,Liam Payne,2017-05-18,GBUM71701628,"2,560",28.0,1000549809,86051,18285158,63.0
Minha Heranï¿½,Minha Heranï¿½,Ana Castela,2024-05-30,BKA7Y2400034,"2,575",27.9,3582494,506,20021976,64.0
Diva Yorgun,Diva Yorgun,Melike ï¿½ï¿½,2023-06-16,TRBYM2000179,"2,574",27.9,62458329,7526,1713723,58.0
Dilemma,Nellyville (Explicit Version),Nelly,2002-06-25,USUR10200370,"2,573",27.9,859999247,170136,65334656,74.0
My wrist (with Young Thug),My wrist (with Young Thug),Yeat,2023-05-26,USUM72307802,"2,572",27.9,83393310,32703,6521059,64.0
GigaChad Theme - Phonk House Version,GigaChad Theme (Phonk House Version),g3ox_em,2022-08-22,QZNWS2230712,"2,571",27.9,282776356,45283,24157482,69.0
Jackie Chan,Jackie Chan,Tiï¿½ï¿,2018-05-18,CYA111800123,"2,562",27.9,867318774,122200,28477959,66.0
Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,2022-04-22,USUG12202336,"2,563",27.9,383945607,58627,45560940,72.0
Bejeweled,Midnights,Taylor Swift,2022-10-21,USUG12205715,"2,577",27.8,536110386,32472,22834672,71.0
That Girl,That Girl,Amrinder Gill,2024-05-24,CBEGD2400001,"2,582",27.8,4128853,234,2317956,62.0
FERXXO 151,FERXXO 151,Feid,2023-08-25,USUM72312300,"2,587",27.8,106899723,23959,10822808,64.0
United In Grief,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,USUM72208961,"2,578",27.8,246425341,81509,7710812,71.0
Drunk in Love,Beyoncï¿½ï¿½ (Del,Beyoncï¿,2013-12-13,USSM11307800,"2,588",27.8,607315454,73281,24577326,67.0
La Vida Sin Ti,La Vida Sin Ti,Rels B,2024-04-22,UYB282476005,"2,581",27.8,50171337,3367,20131086,74.0
FREAK,YUQ1,YUQI,2024-04-23,KRA392400004,"2,604",27.7,9956970,918,11306595,66.0
Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),YBN Nahmir,2021-01-22,USAT22100132,"2,603",27.7,246949197,80591,7682255,64.0
Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,2019-09-13,USC4R1902750,"2,594",27.7,589145587,130464,19387390,71.0
Go Fuck Yourself,First Steps,Two Feet,2016-07-29,DEVF11600016,"2,591",27.7,649191183,160382,29032760,68.0
Rise,Rise,Jonas Blue,2018-05-25,GBUM71802109,"2,592",27.7,872518334,93636,18157143,64.0
8:00 AM,8:00 AM,Nicki Nicole,2023-05-17,UYB282300034,"2,601",27.7,135465283,20671,8011051,63.0
PICK IT UP (feat. A$AP Rocky),Pick It Up (feat. A$AP Rocky),Famous Dex,2017-10-20,QMCE31701365,"2,595",27.7,577534277,47818,8308985,58.0
Double Fantasy (with Future),Double Fantasy,The Weeknd,2023-04-21,USUG12302627,"2,597",27.7,180940067,36631,14272823,66.0
Fisherrr,Fisherrr - Single,Cash Cobain,2024-02-28,NL8RL2403852,"2,598",27.7,9215777,2816,3862691,28.0
Ignorantes,Ignorantes,Bad Bunny,2020-02-14,QM4TW2090210,"2,618",27.6,671572185,88857,22055975,62.0
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,2020-11-27,UYB282001011,"2,615",27.6,286381494,54422,8157305,61.0
GHOST TOWN,GHOST TOWN,Benson Boone,2021-10-15,USWB12103472,"2,612",27.6,382177076,65369,34887197,66.0
Bande organisï¿½,Bande organisï¿½,13 Organisï¿,2020-08-15,FRX282066018,"2,625",27.5,267241905,62950,4938947,63.0
Daddy Issues,Wiped Out!,The Neighbourhood,2015-10-30,USSM11506747,"2,627",27.5,1435372572,239555,84147867,80.0
Cha Cha Cha,Cha Cha Cha,Kï¿½ï¿½ï¿½,2023-01-17,FIWMA2200519,"2,624",27.5,143311775,42463,3803730,66.0
Raining In Manila,Raining In Manila,Lola Amour,2023-06-14,PHW012300171,"2,633",27.5,136169854,11506,4813121,63.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Feels,Calvin Harris,2017-06-16,GBARL1700772,"2,626",27.5,1120187276,153725,45935052,70.0
Everybody make some Tik Tok,Everybody make some some Tik Tok,Bounce Oï¿½ï¿½ï¿,2019-05-22,ITV951900027,"2,621",27.5,532262,481,35220,13.0
Another Love (Tiï¿½ï¿½sto Re,Another Love (Tiï¿½ï¿½sto Re,Tom Odell,2022-05-13,GBARL2201039,"2,620",27.5,141141890,32658,32977028,67.0
Tu Aake Dekhle,The Carnival,King,2020-09-21,FRX762050882,"2,629",27.5,410639967,33664,5963459,69.0
Viva La Vida,Meu Pai ï¿½ï¿½ do ,Coldplay,2005-09-21,GBAYE0800265,"2,619",27.5,2102223775,335772,128128093,80.0
Nice to Meet You,Nice to Meet You,Imagine Dragons,2024-05-24,USUM72404007,"2,623",27.5,15062636,1446,39911356,75.0
Verte Ir,Verte Ir,DJ Luian,2019-03-28,QZ7B81700011,"2,622",27.5,550967367,65928,18945081,64.0
Pink + White,Blonde,Frank Ocean,2016-08-20,QZ5C81600003,"2,642",27.4,1299650856,228950,71708447,83.0
Flashback (feat. Gazo),Flashback,Favï¿,2023-09-15,DGA082396900,"2,654",27.4,88014813,16418,4788967,66.0
